"Name","State","PathName","StartMode"
"1394ohci","Stopped","C:\Windows\system32\drivers\1394ohci.sys","Manual"
"3ware","Stopped","C:\Windows\system32\drivers\3ware.sys","Manual"
"ACPI","Running","C:\Windows\system32\drivers\ACPI.sys","Boot"
"AcpiDev","Stopped","C:\Windows\system32\drivers\AcpiDev.sys","Manual"
"acpiex","Running","C:\Windows\system32\Drivers\acpiex.sys","Boot"
"acpipagr","Running","C:\Windows\system32\drivers\acpipagr.sys","Manual"
"AcpiPmi","Stopped","C:\Windows\system32\drivers\acpipmi.sys","Manual"
"acpitime","Running","C:\Windows\system32\drivers\acpitime.sys","Manual"
"Acx01000","Stopped","C:\Windows\system32\drivers\Acx01000.sys","Manual"
"ADP80XX","Stopped","C:\Windows\system32\drivers\ADP80XX.SYS","Manual"
"AFD","Running","C:\Windows\system32\drivers\afd.sys","System"
"afunix","Running","C:\Windows\system32\drivers\afunix.sys","System"
"ahcache","Running","C:\Windows\system32\DRIVERS\ahcache.sys","System"
"amdgpio2","Stopped","C:\Windows\system32\drivers\amdgpio2.sys","Manual"
"amdi2c","Stopped","C:\Windows\system32\drivers\amdi2c.sys","Manual"
"AmdK8","Stopped","C:\Windows\system32\drivers\amdk8.sys","Manual"
"AmdPPM","Stopped","C:\Windows\system32\drivers\amdppm.sys","Manual"
"amdsata","Stopped","C:\Windows\system32\drivers\amdsata.sys","Manual"
"amdsbs","Stopped","C:\Windows\system32\drivers\amdsbs.sys","Manual"
"amdxata","Stopped","C:\Windows\system32\drivers\amdxata.sys","Manual"
"AppID","Stopped","C:\Windows\system32\drivers\appid.sys","Manual"
"AppleSSD","Stopped","C:\Windows\system32\drivers\AppleSSD.sys","Manual"
"applockerfltr","Stopped","C:\Windows\system32\drivers\applockerfltr.sys","Manual"
"arcsas","Stopped","C:\Windows\system32\drivers\arcsas.sys","Manual"
"AsyncMac","Stopped","C:\Windows\system32\drivers\asyncmac.sys","Manual"
"atapi","Stopped","C:\Windows\system32\drivers\atapi.sys","Manual"
"b06bdrv","Stopped","C:\Windows\system32\drivers\bxvbda.sys","Manual"
"bam","Running","C:\Windows\system32\drivers\bam.sys","System"
"BasicDisplay","Running","C:\Windows\system32\DriverStore\FileRepository\basicdisplay.inf_amd64_02da009b3d736cc1\BasicDisplay.sys","System"
"BasicRender","Running","C:\Windows\system32\DriverStore\FileRepository\basicrender.inf_amd64_3db97a1994666f7c\BasicRender.sys","System"
"bcmfn2","Stopped","C:\Windows\system32\drivers\bcmfn2.sys","Manual"
"Beep","Running","C:\Windows\system32\drivers\Beep.sys","System"
"bfs","Running","C:\Windows\system32\drivers\bfs.sys","Auto"
"bindflt","Running","C:\Windows\system32\drivers\bindflt.sys","Auto"
"BlueStacksDrv_msi5","Running","\??\C:\Program Files\BlueStacks_msi5\BstkDrv_msi5.sys","Auto"
"bowser","Running","C:\Windows\system32\DRIVERS\bowser.sys","Manual"
"BthA2dp","Stopped","C:\Windows\system32\drivers\BthA2dp.sys","Manual"
"BthEnum","Stopped","C:\Windows\system32\drivers\BthEnum.sys","Manual"
"BthHFEnum","Stopped","C:\Windows\system32\drivers\bthhfenum.sys","Manual"
"BthLEEnum","Stopped","C:\Windows\system32\drivers\Microsoft.Bluetooth.Legacy.LEEnumerator.sys","Manual"
"BthMini","Stopped","C:\Windows\system32\drivers\BTHMINI.sys","Manual"
"BTHMODEM","Stopped","C:\Windows\system32\drivers\bthmodem.sys","Manual"
"BthPan","Stopped","C:\Windows\system32\drivers\bthpan.sys","Manual"
"BTHPORT","Running","C:\Windows\system32\drivers\BTHport.sys","Manual"
"BTHUSB","Running","C:\Windows\system32\drivers\BTHUSB.sys","Manual"
"bttflt","Stopped","C:\Windows\system32\drivers\bttflt.sys","Manual"
"button","Running","C:\Windows\system32\drivers\button.sys","Manual"
"buttonconverter","Running","C:\Windows\system32\drivers\buttonconverter.sys","Manual"
"CAD","Running","C:\Windows\system32\drivers\CAD.sys","Manual"
"cdfs","Stopped","C:\Windows\system32\DRIVERS\cdfs.sys","Disabled"
"cdrom","Running","C:\Windows\system32\drivers\cdrom.sys","System"
"cht4iscsi","Stopped","C:\Windows\system32\drivers\cht4sx64.sys","Manual"
"cht4vbd","Stopped","C:\Windows\system32\drivers\cht4vx64.sys","Manual"
"CimFS","Running","C:\Windows\system32\drivers\CimFS.sys","System"
"circlass","Stopped","C:\Windows\system32\drivers\circlass.sys","Manual"
"CldFlt","Running","C:\Windows\system32\drivers\cldflt.sys","Auto"
"CLFS","Running","C:\Windows\system32\drivers\CLFS.sys","Boot"
"CmBatt","Running","C:\Windows\system32\drivers\CmBatt.sys","Manual"
"CNG","Running","C:\Windows\system32\Drivers\cng.sys","Boot"
"cnghwassist","Stopped","C:\Windows\system32\DRIVERS\cnghwassist.sys","Disabled"
"CompositeBus","Running","C:\Windows\system32\DriverStore\FileRepository\compositebus.inf_amd64_2e50c98177d80a40\CompositeBus.sys","Manual"
"condrv","Running","C:\Windows\system32\drivers\condrv.sys","Manual"
"CorsairGamingAudioService","Stopped","C:\Windows\system32\drivers\CorsairGamingAudio64.sys","Manual"
"CorsairVBusDriver","Running","C:\Windows\system32\drivers\CorsairVBusDriver.sys","Manual"
"CorsairVHidDriver","Running","C:\Windows\system32\drivers\CorsairVHidDriver.sys","Manual"
"CtaChildDriver","Stopped","C:\Windows\system32\drivers\CtaChildDriver.sys","Manual"
"dam","Running","C:\Windows\system32\drivers\dam.sys","System"
"Dfsc","Running","C:\Windows\system32\Drivers\dfsc.sys","System"
"dg_ssudbus","Stopped","C:\Windows\system32\DRIVERS\ssudbus2.sys","Manual"
"disk","Running","C:\Windows\system32\drivers\disk.sys","Boot"
"dmvsc","Stopped","C:\Windows\system32\drivers\dmvsc.sys","Manual"
"drmkaud","Stopped","C:\Windows\system32\drivers\drmkaud.sys","Manual"
"DXGKrnl","Running","C:\Windows\system32\drivers\dxgkrnl.sys","System"
"ebdrv","Stopped","C:\Windows\system32\drivers\evbda.sys","Manual"
"ebdrv0","Stopped","C:\Windows\system32\drivers\evbd0a.sys","Manual"
"EhStorClass","Running","C:\Windows\system32\drivers\EhStorClass.sys","Boot"
"EhStorTcgDrv","Stopped","C:\Windows\system32\drivers\EhStorTcgDrv.sys","Manual"
"ErrDev","Stopped","C:\Windows\system32\drivers\errdev.sys","Manual"
"ExecutionContext","Stopped","C:\Windows\system32\Drivers\ExecutionContext.sys","Manual"
"exfat","Stopped","C:\Windows\system32\drivers\exfat.sys","Manual"
"fastfat","Running","C:\Windows\system32\drivers\fastfat.sys","Manual"
"fdc","Stopped","C:\Windows\system32\drivers\fdc.sys","Manual"
"FileCrypt","Running","C:\Windows\system32\drivers\filecrypt.sys","System"
"FileInfo","Running","C:\Windows\system32\drivers\fileinfo.sys","Boot"
"Filetrace","Stopped","C:\Windows\system32\drivers\filetrace.sys","Manual"
"flpydisk","Stopped","C:\Windows\system32\drivers\flpydisk.sys","Manual"
"FltMgr","Running","C:\Windows\system32\drivers\fltmgr.sys","Boot"
"FsDepends","Stopped","C:\Windows\system32\drivers\FsDepends.sys","Manual"
"fvevol","Running","C:\Windows\system32\DRIVERS\fvevol.sys","Boot"
"gameflt","Running","C:\Windows\system32\DriverStore\FileRepository\gameflt.inf_amd64_152b7ad8bf20bdc5\gameflt.sys","Manual"
"gencounter","Stopped","C:\Windows\system32\drivers\vmgencounter.sys","Manual"
"genericusbfn","Stopped","C:\Windows\system32\DriverStore\FileRepository\genericusbfn.inf_amd64_cea150c98a1ca844\genericusbfn.sys","Manual"
"GenPass","Stopped","C:\Windows\system32\DriverStore\FileRepository\genpass.inf_amd64_bef88a423225ecdc\genpass.sys","Manual"
"GPIOClx0101","Running","C:\Windows\system32\Drivers\msgpioclx.sys","Manual"
"GSCAuxDriver","Stopped","C:\Windows\system32\DriverStore\FileRepository\gscauxdriver.inf_amd64_ed9efe698065da9c\GSCAuxDriverx64.sys","Manual"
"GSCx64","Stopped","C:\Windows\system32\DriverStore\FileRepository\gscheci.inf_amd64_96e1e5abf52e018c\TeeDriverGSCW8x64.sys","Manual"
"HdAudAddService","Stopped","C:\Windows\system32\drivers\HdAudio.sys","Manual"
"HDAudBus","Running","C:\Windows\system32\drivers\HDAudBus.sys","Manual"
"HidBatt","Stopped","C:\Windows\system32\drivers\HidBatt.sys","Manual"
"HidBth","Stopped","C:\Windows\system32\drivers\hidbth.sys","Manual"
"HidEventFilter","Running","C:\Windows\system32\DriverStore\FileRepository\hideventfilter.inf_amd64_11ad2b4276308b53\HidEventFilter.sys","Manual"
"hidi2c","Running","C:\Windows\system32\drivers\hidi2c.sys","Manual"
"hidinterrupt","Running","C:\Windows\system32\drivers\hidinterrupt.sys","Manual"
"HidIr","Stopped","C:\Windows\system32\drivers\hidir.sys","Manual"
"hidspi","Stopped","C:\Windows\system32\drivers\hidspi.sys","Manual"
"HidSpiCx","Stopped","C:\Windows\system32\drivers\HidSpiCx.sys","Manual"
"HidUsb","Running","C:\Windows\system32\drivers\hidusb.sys","Manual"
"HpSAMD","Stopped","C:\Windows\system32\drivers\HpSAMD.sys","Manual"
"Hsp","Stopped","C:\Windows\system32\drivers\Hsp.sys","Manual"
"HTTP","Running","C:\Windows\system32\drivers\HTTP.sys","Manual"
"hvcrash","Stopped","C:\Windows\system32\drivers\hvcrash.sys","Disabled"
"hvservice","Running","C:\Windows\system32\drivers\hvservice.sys","Manual"
"HwNClx0101","Stopped","C:\Windows\system32\Drivers\mshwnclx.sys","Manual"
"hwpolicy","Stopped","C:\Windows\system32\drivers\hwpolicy.sys","Boot"
"hyperkbd","Stopped","C:\Windows\system32\drivers\hyperkbd.sys","Manual"
"HyperVideo","Stopped","C:\Windows\system32\drivers\HyperVideo.sys","Manual"
"i8042prt","Running","C:\Windows\system32\drivers\i8042prt.sys","Manual"
"iagpio","Stopped","C:\Windows\system32\drivers\iagpio.sys","Manual"
"iai2c","Stopped","C:\Windows\system32\drivers\iai2c.sys","Manual"
