"Name","DisplayName","State","StartMode","StartName","PathName"
"AdobeUpdateService","AdobeUpdateService","Running","Auto","LocalSystem","""C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\ElevationManager\AdobeUpdateService.exe"""
"AdskLicensingService","Autodesk Desktop Licensing Service","Running","Auto","NT AUTHORITY\LocalService","""C:\Program Files (x86)\Common Files\Autodesk Shared\AdskLicensing\Current\AdskLicensingService\AdskLicensingService.exe"""
"Appinfo","Application Information","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"AppXSvc","AppX Deployment Service (AppXSVC)","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k wsappx -p"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running","Auto","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Audiosrv","Windows Audio","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"BFE","Base Filtering Engine","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"bthserv","Bluetooth Support Service","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"camsvc","Capability Access Manager Service","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k osprivacy -p"
"cbdhsvc_a93da","Clipboard User Service_a93da","Running","Auto",,"C:\Windows\system32\svchost.exe -k ClipboardSvcGroup -p"
"CDPSvc","Connected Devices Platform Service","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"CDPUserSvc_a93da","Connected Devices Platform User Service_a93da","Running","Auto",,"C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
"CoreMessagingRegistrar","CoreMessaging","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p"
"CorsairGamingAudioConfig","Corsair Gaming Audio Configuration Service","Running","Auto","LocalSystem","C:\Windows\System32\CorsairGamingAudioCfgService64.exe"
"cplspcon","Intel(R) Content Protection HDCP Service","Running","Auto","LocalSystem","C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_5b1252b3763da959\IntelCpHDCPSvc.exe"
"CryptSvc","Cryptographic Services","Running","Auto","NT Authority\NetworkService","C:\Windows\system32\svchost.exe -k NetworkService -p"
"DcomLaunch","DCOM Server Process Launcher","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"DeviceAssociationService","Device Association Service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DeviceInstall","Device Install Service","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"DevicesFlowUserSvc_a93da","DevicesFlow_a93da","Running","Manual",,"C:\Windows\system32\svchost.exe -k DevicesFlow"
"Dhcp","DHCP Client","Running","Auto","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"DispBrokerDesktopSvc","Display Policy Service","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"DisplayEnhancementService","Display Enhancement Service","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Dnscache","DNS Client","Running","Auto","NT AUTHORITY\NetworkService","C:\Windows\system32\svchost.exe -k NetworkService -p"
"DoSvc","Delivery Optimization","Running","Auto","NT Authority\NetworkService","C:\Windows\System32\svchost.exe -k NetworkService -p"
"DPS","Diagnostic Policy Service","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p"
"dptftcs","Intel(R) Dynamic Tuning Technology Telemetry Service","Running","Auto","NT Authority\LocalService","""C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_a56d66a9d40a4cb2\ipfsvc.exe"""
"DsSvc","Data Sharing Service","Running","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DusmSvc","Data Usage","Running","Auto","NT Authority\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"EventLog","Windows Event Log","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"EventSystem","COM+ Event System","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"FlexNet Licensing Service 64","FlexNet Licensing Service 64","Running","Auto","LocalSystem","""C:\Program Files\Common Files\Macrovision Shared\FlexNet Publisher\FNPLicensingService64.exe"""
"FontCache","Windows Font Cache Service","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"GamingServices","Gaming Services","Running","Auto","LocalSystem","""C:\Program Files\WindowsApps\Microsoft.GamingServices_30.104.13001.0_x64__8wekyb3d8bbwe\GamingServices.exe"""
"GamingServicesNet","Gaming Services","Running","Auto","NT AUTHORITY\LocalService","""C:\Program Files\WindowsApps\Microsoft.GamingServices_30.104.13001.0_x64__8wekyb3d8bbwe\GamingServicesNet.exe"""
"gpsvc","Group Policy Client","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"GraphicsPerfSvc","GraphicsPerfSvc","Running","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k GraphicsPerfSvcGroup"
"hidserv","Human Interface Device Service","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"HPPrintScanDoctorService","HP Print Scan Doctor Service","Running","Auto","LocalSystem","""C:\Program Files\HPPrintScanDoctor\HPPrintScanDoctorService.exe"""
"HvHost","HV Host Service","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"igccservice","Intel(R) Graphics Command Center Service","Running","Auto","LocalSystem","""C:\Windows\System32\DriverStore\FileRepository\igcc_dch.inf_amd64_4e93878658043b21\OneApp.IGCC.WinService.exe"""
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"InstallService","Microsoft Store Install Service","Running","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs -p"
