"Name","DisplayName","Enabled","Direction","Action","Profile"
"WFDPRINT-SPOOL-Out-Active","Wi-Fi Direct Spooler Use (Out)","True","Outbound","Allow","Public"
"NETDIS-UPnPHost-Out-TCP","Network Discovery (UPnP-Out)","False","Outbound","Allow","Public"
"RemoteAssistance-Out-TCP","Remote Assistance (TCP-Out)","False","Outbound","Allow","Public"
"RemoteEventLogSvc-NP-In-TCP-NoScope","Remote Event Log Management (NP-In)","False","Inbound","Allow","Domain"
"WFDPRINT-SPOOL-In-Active","Wi-Fi Direct Spooler Use (In)","True","Inbound","Allow","Public"
"RemoteTask-In-TCP-NoScope","Remote Scheduled Tasks Management (RPC)","False","Inbound","Allow","Domain"
"NETDIS-SSDPSrv-Out-UDP-Active","Network Discovery (SSDP-Out)","True","Outbound","Allow","Private"
"NETDIS-WSDEVNT-Out-TCP-Active","Network Discovery (WSD Events-Out)","True","Outbound","Allow","Private"
"RemoteAssistance-Out-TCP-Active","Remote Assistance (TCP-Out)","False","Outbound","Allow","Domain, Private"
"MSDTC-Out-TCP","Distributed Transaction Coordinator (TCP-Out)","False","Outbound","Allow","Private, Public"
"RRAS-L2TP-Out-UDP","Routing and Remote Access (L2TP-Out)","False","Outbound","Allow","Any"
"CoreNet-ICMP6-PTB-Out","Core Networking - Packet Too Big (ICMPv6-Out)","True","Outbound","Allow","Any"
"CDPSvc-Out-UDP","Connected Devices Platform (UDP-Out)","True","Outbound","Allow","Domain, Private"
"FPS-RPCSS-In-TCP-NoScope","File and Printer Sharing (Spooler Service - RPC-EPMAP)","False","Inbound","Allow","Domain"
"FPS-SpoolSvc-In-TCP-NoScope","File and Printer Sharing (Spooler Service - RPC)","False","Inbound","Allow","Domain"
"Collab-P2PHost-WSD-In-UDP","Windows Peer to Peer Collaboration Foundation (WSD-In)","False","Inbound","Allow","Any"
"PNRPMNRS-PNRP-In-UDP","Windows Collaboration Computer Name Registration Service (PNRP-In)","False","Inbound","Allow","Any"
"NETDIS-NB_Name-Out-UDP","Network Discovery (NB-Name-Out)","False","Outbound","Allow","Public"
"NETDIS-NB_Datagram-Out-UDP","Network Discovery (NB-Datagram-Out)","False","Outbound","Allow","Public"
"RemoteEventLogSvc-In-TCP","Remote Event Log Management (RPC)","False","Inbound","Allow","Private, Public"
"CoreNet-IPv6-In","Core Networking - IPv6 (IPv6-In)","True","Inbound","Allow","Any"
"CDPSvc-WFD-Out-TCP","Connected Devices Platform - Wi-Fi Direct Transport (TCP-Out)","True","Outbound","Allow","Public"
"RemoteEventLogSvc-NP-In-TCP","Remote Event Log Management (NP-In)","False","Inbound","Allow","Private, Public"
"SNMPTRAP-In-UDP","SNMP Trap Service (UDP In)","False","Inbound","Allow","Private, Public"
"MDNS-Out-UDP-Domain-Active","mDNS (UDP-Out)","True","Outbound","Allow","Domain"
"DeliveryOptimization-UDP-In","Delivery Optimization (UDP-In)","True","Inbound","Allow","Any"
