"DisplayName","Publisher","InstallDate","DisplayVersion","UninstallString","InstallLocation","PSPath"
"7-Zip 24.07 (x64 edition)","Igor Pavlov","20240629","24.07.00.0","MsiExec.exe /I{23170F69-40C1-2702-2407-000001000000}","","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{23170F69-40C1-2702-2407-000001000000}"
"Adobe Acrobat (64-bit)","Adobe","20241212","24.005.20320","MsiExec.exe /I{AC76BA86-1033-FFFF-7760-BC15014EA700}","C:\Program Files\Adobe\Acrobat DC\","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{AC76BA86-1033-FFFF-7760-BC15014EA700}"
"Adobe Creative Cloud","Adobe Inc.",,"6.7.0.278","C:\Program Files (x86)\Adobe\Adobe Creative Cloud\Utils\Creative Cloud Uninstaller.exe",,"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Adobe Creative Cloud"
"Adobe Flash Player 11 Plugin","Adobe Systems Incorporated",,"11.1.102.55","C:\Windows\SysWOW64\Macromed\Flash\FlashUtil11e_Plugin.exe -maintain plugin",,"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Adobe Flash Player Plugin"
"Adobe Genuine Service","Adobe Inc.",,"9.0.0.29","""C:\Program Files (x86)\Common Files\Adobe\AdobeGCClient\AdobeCleanUpUtility.exe""",,"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\AdobeGenuineService"
"Adobe Photoshop 2025","Adobe Inc.","11/22/2024","26.1.0.121","""C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\HDBox\Uninstaller.exe"" --uninstall=1 --sapCode=PHSP --productVersion=26.1 --productPlatform=win64 --productAdobeCode={PHSP-26.1-64-ADBEADBEADBEADBEADBEADB} --productName=""Photoshop"" --mode=2","C:\Program Files\Adobe\Adobe Photoshop 2025","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\PHSP_26_1"
"Adobe Refresh Manager","Adobe Systems Incorporated","20241030","1.8.0","MsiExec.exe /I{AC76BA86-0804-1033-1959-018244601102}","C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{AC76BA86-0804-1033-1959-018244601102}"
"Advanced Combat Tracker (remove only)","EQAditu",,"3.8.4.287","""C:\Program Files (x86)\Advanced Combat Tracker\Uninstall-ACT.exe""",,"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Advanced Combat Tracker"
"Application Verifier x64 External Package","Microsoft","20250612","10.1.19041.5609","MsiExec.exe /I{D5419286-34A7-E062-1C25-013A7FA94E9C}","","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{D5419286-34A7-E062-1C25-013A7FA94E9C}"
"Application Verifier x64 External Package (DesktopEditions)","Microsoft","20250611","10.1.22621.5040","MsiExec.exe /I{ACB8119F-54A6-C93C-CA2F-3A1476EE8869}","","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{ACB8119F-54A6-C93C-CA2F-3A1476EE8869}"
