"Name","Id","Path","SHA256","CPU","StartTime","WS_MB","VM_MB"
"NahimicService","5568","C:\Windows\System32\NahimicService.exe","380F3F03FD475C73FCDAA4BF845F620BB99A5977C4C2A45FEB128B508E5A286D","9337.640625","8/28/2025 7:30:57 AM","13.96","4256.85"
"msedge","17504","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","6F598EEC054D85F6BA61F35BC6C2A162E6096A06279685525BF99699B5CAFA44","1248.796875","8/28/2025 7:33:19 AM","612.28","3593505.64"
"Wow","8756","C:\Program Files (x86)\World of Warcraft\_retail_\Wow.exe","71E62612BCB2A5EBB7A9D93F1B0B03510E58DB6EA5E574E332CBA3E963939121","979.875","8/28/2025 2:41:58 PM","353.19","15081"
"System","4",,,"478.703125","8/28/2025 7:30:35 AM","7.38","12.94"
"svchost","3240","C:\Windows\system32\svchost.exe","949BFB5B4C7D58D92F3F9C5F8EC7CA4CEAFFD10EC5F0020F0A987C472D61C54B","301.75","8/28/2025 7:30:52 AM","6.4","2105562.69"
"MsMpEng","6052",,,"244.265625","8/28/2025 7:30:58 AM","252.62","2102789.34"
"msedge","18004","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","6F598EEC054D85F6BA61F35BC6C2A162E6096A06279685525BF99699B5CAFA44","219.875","8/28/2025 7:33:19 AM","141.98","2202320.68"
"WmiPrvSE","11988","C:\Windows\system32\wbem\wmiprvse.exe","196CABED59111B6C4BBF78C84A56846D96CBBC4F06935A4FD4E6432EF0AE4083","161.53125","8/28/2025 7:35:19 AM","30.49","2101409.37"
"dwm","2616","C:\Windows\system32\dwm.exe","39E285CA0F9F9B9E3B00C38A1F42BD440825967C161BC967B28C5ED7BCCF78CE","148.546875","8/28/2025 7:30:52 AM","61.8","2102085.11"
"NVDisplay.Container","3088","C:\Windows\System32\DriverStore\FileRepository\nvmii.inf_amd64_dec58f6b93e9280e\Display.NvContainer\NVDisplay.Container.exe","3EB45A655863102F04E057C20C2DE8BE1F171508DA4211B541DC98B4C002137A","148.40625","8/28/2025 7:30:52 AM","15.82","2101463.85"
"Discord","9296","C:\Users\wille\AppData\Local\Discord\app-1.0.9204\Discord.exe","2FC61BE5E3C58DDA117AA3EA49E1A412004A09F48142E1F052788BE57A630DFA","140.5","8/28/2025 7:33:18 AM","303.11","3505145.25"
"OneDrive","16784","C:\Users\wille\AppData\Local\Microsoft\OneDrive\OneDrive.exe","38ED387B5896D68B72F3E9C90D9227DD104F91CF5C679F18114E9C956CAC65FA","137.703125","8/28/2025 7:32:34 AM","45.63","2105320.42"
"msedge","14632","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","6F598EEC054D85F6BA61F35BC6C2A162E6096A06279685525BF99699B5CAFA44","137.359375","8/28/2025 7:33:18 AM","440.76","2267858.72"
"MSI.CentralServer","8592","C:\Program Files (x86)\MSI\MSI Center\MSI.CentralServer.exe","9C41416A9E9B9775445C421F0082D7B3149AE7344536D099176EE47C8EC6D13A","124.421875","8/28/2025 7:31:01 AM","33.98","309.02"
"Razer Synapse Service","4788","C:\Program Files (x86)\Razer\Synapse3\Service\Razer Synapse Service.exe","C7EB50056BEB9AEF69A405C5BE864670CA9920AF61B15FFF4E3F47667E0C2524","111.28125","8/28/2025 7:31:02 AM","39.6","588.98"
"Memory Compression","3392",,,"98.671875","8/28/2025 7:30:52 AM","2232.38","3841.38"
"msedge","18856","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","6F598EEC054D85F6BA61F35BC6C2A162E6096A06279685525BF99699B5CAFA44","72.8125","8/28/2025 3:31:21 PM","307.74","3590124.89"
"msedge","2740","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","6F598EEC054D85F6BA61F35BC6C2A162E6096A06279685525BF99699B5CAFA44","47.890625","8/28/2025 7:35:37 AM","159.45","3590020.47"
"svchost","3924","C:\Windows\system32\svchost.exe","949BFB5B4C7D58D92F3F9C5F8EC7CA4CEAFFD10EC5F0020F0A987C472D61C54B","42.6875","8/28/2025 7:30:53 AM","23.39","2101507.81"
"Battle.net","21068","C:\Program Files (x86)\Battle.net\Battle.net.exe","65126AC3855E365FF44BBAB850F362E2B3F42F3146788DDF5DD3FBB2216CCF79","38.578125","8/28/2025 7:36:43 AM","48.34","643.04"
"audiodg","6092","C:\Windows\system32\AUDIODG.EXE","18DDCB8ABAB6D191A5B6207DEEFD441A72483087AF3590AC29A6CEFD82CD3024","36.046875","8/28/2025 1:59:08 PM","31.3","2101577.37"
"nvcontainer","8624","C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe","F2D3E4ACD978303085ECD99F97AB2221F0CAB3A54E3A2C6760A788241BF0B074","31.765625","8/28/2025 7:31:01 AM","46.11","2101565.71"
"Discord","12264","C:\Users\wille\AppData\Local\Discord\app-1.0.9204\Discord.exe","2FC61BE5E3C58DDA117AA3EA49E1A412004A09F48142E1F052788BE57A630DFA","31.640625","8/28/2025 7:33:04 AM","56.69","3498358.92"
"explorer","10540","C:\Windows\Explorer.EXE","38E74554111C8F808FDFB4F254D2E0A51C0A744643C677E680671702E1E81245","28.890625","8/28/2025 7:31:06 AM","265.47","2102558.46"
"Windsurf","24852","C:\Users\wille\AppData\Local\Programs\Windsurf\Windsurf.exe","7EC4C256523BBDF5BD87423DB246D61E2314C35561B06854D76361371C74E2AC","26.875","8/28/2025 3:36:11 PM","360.17","3293507.23"
"NahimicSvc64","9488","C:\Windows\System32\NahimicSvc64.exe","2B67698A1A2FAA5770E6DA85410431B9189445351081406AA83970C80F66B0EB","25.3125","8/28/2025 7:31:05 AM","6.83","4526.6"
