"TaskName","TaskPath","LastRunTime","NextRunTime","LastTaskResult"
"NahimicTask64","\","8/28/2025 7:31:31 AM",,"267009"
"Adobe-Genuine-Software-Integrity-Scheduler-1.0","\","8/28/2025 2:37:37 PM","8/28/2025 8:37:37 PM","0"
"OneDrive Reporting Task-S-1-5-21-1585972827-2581376412-277449580-1001","\","8/27/2025 9:31:31 PM","8/28/2025 9:31:31 PM","0"
"NahimicTask32","\","8/28/2025 7:31:31 AM",,"267009"
"AdobeGCInvoker-1.0","\","8/28/2025 7:36:36 AM","8/29/2025 3:46:46 AM","0"
"ETW Host Service Updater v16","\","8/28/2025 11:04:04 AM","8/29/2025 11:04:04 AM","0"
"NVIDIA App SelfUpdate_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}","\","11/30/1999 12:00:00 AM",,"267011"
"OneDC_Updater","\","8/28/2025 7:36:36 AM","8/29/2025 6:00:00 AM","2147946720"
"npcapwatchdog","\","11/30/2024 12:10:10 PM",,"0"
"MicrosoftEdgeUpdateTaskMachineCore","\","8/28/2025 9:18:18 AM","8/29/2025 9:18:18 AM","0"
"OmApSvcBroker","\","8/28/2025 7:31:31 AM",,"267009"
"MicrosoftEdgeUpdateTaskMachineUA","\","8/28/2025 4:48:48 PM","8/28/2025 5:48:48 PM","0"
"Adobe Acrobat Update Task","\","1/1/2025 7:16:16 PM","8/28/2025 7:00:00 PM","0"
"Git for Windows Updater","\","8/28/2025 4:26:26 PM","8/29/2025 4:26:26 PM","43"
"S-1-5-21-1585972827-2581376412-277449580-500","\Agent Activation Runtime\","11/30/1999 12:00:00 AM",,"267011"
"OneDrive Standalone Update Task-S-1-5-21-1585972827-2581376412-277449580-1001","\","8/27/2025 9:30:30 PM","8/28/2025 9:02:02 PM","2147806724"
"OneDrive Standalone Update Task-S-1-5-21-1585972827-2581376412-277449580-500","\","12/19/2022 10:57:57 AM","8/29/2025 5:00:00 PM","2147943467"
"Overwolf Updater Task","\","11/30/2024 10:58:58 AM","8/28/2025 5:58:58 PM","0"
"OneDrive Startup Task-S-1-5-21-1585972827-2581376412-277449580-1001","\","8/28/2025 7:41:41 AM",,"0"
"Launch Adobe CCXProcess","\","8/27/2025 8:44:44 PM","8/28/2025 8:44:44 PM","0"
"Office Performance Monitor","\Microsoft\Office\","11/30/1999 12:00:00 AM",,"267011"
"GoogleUpdaterTaskSystem141.0.7340.0{B6CCAAA6-030A-4D3F-815A-69BA7D97D927}","\GoogleSystem\GoogleUpdater\","8/28/2025 4:20:20 PM","8/28/2025 5:20:20 PM","0"
"Printer Health Monitor Logon","\HP\HP Print Scan Doctor\","8/28/2025 7:52:52 AM",,"0"
".NET Framework NGEN v4.0.30319","\Microsoft\Windows\.NET Framework\","8/28/2025 4:45:45 PM",,"0"
